date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:13	4133/4133	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Aug%202021%2016:19:48%20GMT	https://uigator.com/assan/5.1/public/assets/vendor/masterslider/skins/minimal/style.css	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/vendor/masterslider/skins/minimal/style.css	(from https://uigator.com/assan/5.1/public/hero-slider-master-alt.html)
16:16:13	164352/164352	---M--	200	added ('OK')	font/woff	date:Sun,%2013%20Nov%202022%2016:44:34%20GMT	https://uigator.com/assan/5.1/public/assets/fonts/bootstrap-icons/fonts/bootstrap-icons.woff?24e3eb84d0bcaf83d77f904c78ac1f47	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/fonts/bootstrap-icons/fonts/bootstrap-iconsbf04.woff	(from https://uigator.com/assan/5.1/public/assets/fonts/bootstrap-icons/bootstrap-icons.css)
16:16:15	258755/258755	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2017:40:00%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/banners/04.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/banners/04.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-home-02.html)
16:16:16	293101/293101	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Jun%202021%2002:14:56%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/products/09.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/products/09.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-home-02.html)
16:16:17	170622/170622	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20May%202019%2005:33:16%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/banners/05.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/banners/05.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-home-02.html)
16:16:17	2950/2950	---MCZ	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202023%2017:30:04%20GMT	https://uigator.com/assan/5.1/public/assets/vendor/node_modules/css/simplebar.min.css	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/vendor/node_modules/css/simplebar.min.css	(from https://uigator.com/assan/5.1/public/demo-shop-products.html)
16:16:18	4220/4220	---MCZ	200	added ('OK')	text/css	date:Wed,%2001%20Mar%202023%2017:30:04%20GMT	https://uigator.com/assan/5.1/public/assets/vendor/node_modules/css/nouislider.min.css	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/vendor/node_modules/css/nouislider.min.css	(from https://uigator.com/assan/5.1/public/demo-shop-products.html)
16:16:21	279009/279009	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2017:39:26%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/banners/01.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/banners/01.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-products.html)
16:16:22	131098/131098	---M--	200	added ('OK')	image/jpeg	date:Fri,%2018%20Jun%202021%2023:08:52%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/products/10.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/products/10.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-products.html)
16:16:22	65923/65923	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2001%20Mar%202023%2017:30:02%20GMT	https://uigator.com/assan/5.1/public/assets/vendor/node_modules/js/simplebar.min.js	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/vendor/node_modules/js/simplebar.min.js	(from https://uigator.com/assan/5.1/public/demo-shop-products.html)
16:16:23	27118/27118	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2001%20Mar%202023%2017:30:04%20GMT	https://uigator.com/assan/5.1/public/assets/vendor/node_modules/js/nouislider.min.js	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/vendor/node_modules/js/nouislider.min.js	(from https://uigator.com/assan/5.1/public/demo-shop-products.html)
16:16:25	125894/125894	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2017:45:08%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/category/01.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/category/01.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-product-category.html)
16:16:26	130100/130100	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2017:44:54%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/category/02.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/category/02.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-product-category.html)
16:16:27	120280/120280	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2017:44:34%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/category/03.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/category/03.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-product-category.html)
16:16:28	95449/95449	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2017:44:16%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/category/04.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/category/04.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-product-category.html)
16:16:29	88636/88636	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2017:44:02%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/category/05.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/category/05.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-product-category.html)
16:16:29	107721/107721	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2017:43:50%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/category/06.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/category/06.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-product-category.html)
16:16:30	162612/162612	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2017:43:36%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/category/07.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/category/07.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-product-category.html)
16:16:30	114679/114679	---M--	200	added ('OK')	image/jpeg	date:Mon,%2012%20Jul%202021%2017:43:22%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/category/08.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/category/08.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-product-category.html)
16:16:32	303916/303916	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Jun%202021%2016:14:06%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/category/09.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/category/09.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-product-category.html)
16:16:35	184522/184522	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Dec%202021%2021:43:00%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/single2.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/single2.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-product-default.html)
16:16:36	289650/289650	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Dec%202021%2021:43:08%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/single1.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/single1.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-product-default.html)
16:16:38	405960/405960	---M--	200	added ('OK')	image/jpeg	date:Fri,%2017%20Dec%202021%2021:42:52%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/single3.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/single3.jpg	(from https://uigator.com/assan/5.1/public/demo-shop-product-default.html)
16:16:59	46446/46446	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2001%20Mar%202023%2017:30:04%20GMT	https://uigator.com/assan/5.1/public/assets/vendor/node_modules/js/dropzone-min.js	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/vendor/node_modules/js/dropzone-min.js	(from https://uigator.com/assan/5.1/public/demo-real-estate-add-listing.html)
16:17:05	487270/487270	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Jun%202021%2015:50:26%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/products/04.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/products/04.jpg	(from https://uigator.com/assan/5.1/public/demo-shop.html)
16:17:05	501896/501896	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Jun%202021%2015:51:14%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/products/05.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/products/05.jpg	(from https://uigator.com/assan/5.1/public/demo-shop.html)
16:17:07	700469/700469	---M--	200	added ('OK')	image/jpeg	date:Sun,%2014%20Aug%202022%2002:24:16%20GMT	https://uigator.com/assan/5.1/public/assets/img/shop/banners/men.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/shop/banners/men.jpg	(from https://uigator.com/assan/5.1/public/demo-shop.html)
16:17:07	265360/265360	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Dec%202021%2022:57:24%20GMT	https://uigator.com/assan/5.1/public/assets/img/estate/listing/3.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/estate/listing/3.jpg	(from https://uigator.com/assan/5.1/public/demo-real-estate-listing-grid.html)
16:17:07	114087/114087	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Dec%202021%2022:57:04%20GMT	https://uigator.com/assan/5.1/public/assets/img/estate/listing/5.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/estate/listing/5.jpg	(from https://uigator.com/assan/5.1/public/demo-real-estate-listing-grid.html)
16:17:08	123339/123339	---M--	200	added ('OK')	image/jpeg	date:Fri,%2031%20Dec%202021%2022:56:56%20GMT	https://uigator.com/assan/5.1/public/assets/img/estate/listing/6.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/estate/listing/6.jpg	(from https://uigator.com/assan/5.1/public/demo-real-estate-listing-grid.html)
16:17:10	107683/107683	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Jan%202022%2018:08:00%20GMT	https://uigator.com/assan/5.1/public/assets/img/estate/listing/detail2.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/estate/listing/detail2.jpg	(from https://uigator.com/assan/5.1/public/demo-real-estate-listing.html)
16:17:10	217807/217807	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Jan%202022%2018:07:52%20GMT	https://uigator.com/assan/5.1/public/assets/img/estate/listing/detail1.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/estate/listing/detail1.jpg	(from https://uigator.com/assan/5.1/public/demo-real-estate-listing.html)
16:17:11	167986/167986	---M--	200	added ('OK')	image/jpeg	date:Tue,%2011%20Jan%202022%2018:08:08%20GMT	https://uigator.com/assan/5.1/public/assets/img/estate/listing/detail3.jpg	C:/Users/HIGH-TECH%20CORP'S/Desktop/all/assan/assan/uigator.com/assan/5.1/public/assets/img/estate/listing/detail3.jpg	(from https://uigator.com/assan/5.1/public/demo-real-estate-listing.html)
